category,upc,product_type,brand_name,generic_name,manufacturer_name,label_id,label_version,label_effective_time,purpose,indications_and_usage,active_ingredient,inactive_ingredient,dosage_and_administration,warnings
acne,839977006285,HUMAN OTC DRUG,Clearasil Stubborn Acne Control 5in1 Exfoliating Wash,SALICYLIC ACID,RB Health (US) LLC,51c09a11-042f-4690-b2b1-34ea7ea405be,3,2021-05-20,Purpose Acne medication,use for the treatment of acne,Active ingredient Salicylic acid 2%,"Inactive ingredients Water, PPG-15 Stearyl Ether, Hydrated Silica, Glycerin, Stearyl Alcohol, Cetyl Betaine, Distearyldimonium Chloride, Sodium Lauryl Sulfate, Cetyl Alcohol, Alcohol Denat, Steareth-21, Sodium Chloride, Behenyl Alcohol, Synthetic Wax, Steareth-2, Xanthan Gum, Fragrance, MEK, Disodium EDTA, Isopropyl Alcohol, BHT, Lavandula Stoechas Extract, Methylchloroisothiazolinone, Helichrysum Italicum Extract, Methylisothiazolinone, Cistus Monspeliensis Extract, Mica, Ferric Ferrocyanide, Titanium Dioxide, FD&C Blue No. 1","Directions wet face dispense product into hands, lather and massage gently onto face and neck, avoiding the delicate eye area rinse thoroughly with warm water one too three times daily because excessive drying of the skin may occur, start with one application daily, then gradually increase to two or three times daily if needed or as directed by a doctor if bothersome dryness or peeling occurs, reduce application to once a day or every other day","Warnings For external use only When using this product avoid contact with the eyes. If product gets into the eyes, rinse thoroughly with water. skin irritation and dryness is more likely to occur if you use another topical acne medication at the same time. If irritation occurs, only use one topical acne medication at a time. limit use to the face and neck Stop use and ask a doctor if skin or eye irritation develops Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away."
cough,650332011344,HUMAN OTC DRUG,Menthol Therastat,MENTHOL,HART Health,69339ef7-b026-4e7a-ab6c-43426491cab5,3,2021-05-20,Purpose: Cough Suppressant,uses: temporarily relieves sore throat and cough occurring with a cold,Active Ingredient (in each lozenge): Menthol 5.4 mg,"Inactive Ingredients: Blue Flakes (FD&C Blue #1, Glycerin, Gum Arabic, Potassium Sorbate), Eucalyptus Oil, FD&C Red #40, Glucose Syrup, Natural Flavoring, Sucrose and Water. Soybean Oil and Corn Starch used as procession aids.",Directions: Do not take more than directed Adults and children 12 years of age and older: allow one lozenge to dissolve slowly in mouth may be repeated every 2 hours as needed or as directed by a doctor Children under 12 years of age: ask a doctor,"Warnings: Sore throat warning: if sore throat is severe, persists for more than 2 days, is accompnaied or followed by a fever, headache, rash, nausea, or vomiting, consult a doctor right away."
cough,363113701166,HUMAN OTC DRUG,COUGHTONE,"ECHINACEA, LOBELIA INFLATA, ANTIMONIUM TARTARICUM, ARALIA RACEMOSA, DROSERA (ROTUNDIFOLIA), IPECACUANHA, KALI CARBONICUM, PHOSPHORUS, SPONGIA TOSTA","Energique, Inc.",abdbdd43-eefa-4efb-96ef-13afe2b4415a,1,2021-05-19,"INDICATIONS: May temporarily relieve tickling, short, dry cough, barking cough, very deep cough and hoarseness.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.","indications: may temporarily relieve tickling, short, dry cough, barking cough, very deep cough and hoarseness.** **claims based on traditional homeopathic practice, not accepted medical evidence. not fda evaluated.","ACTIVE INGREDIENTS: (in each drop): 14.26% of Antimonium Tartaricum 12X, Aralia Racemosa 12X, Drosera (Rotundifolia) 12X, Ipecacuanha 12X, Kali Carbonicum 12X, Phosphorus 12X, Spongia Tosta 12X; 0.10% of Echinacea (Angustifolia) 3X, Lobelia Inflata 3X.","INACTIVE INGREDIENTS: Demineralized water, 20% Ethanol.","DIRECTIONS: Adults and children 5 to 10 drops orally, 3 times daily or as otherwise directed by a health care professional. If symptoms persist for more than 7 days, consult your health care professional. Consult a physician for use in children under 12 years of age.","WARNINGS: If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
cough,50844529083,HUMAN OTC DRUG,Cold Relief Multi-Symptom,"ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL","L.N.K. International, Inc.",c3ac7098-23ce-46c4-9bb7-b8da8e1d0125,6,2021-05-18,Purpose Pain reliever/fever reducer Cough suppressant Nasal decongestant,uses temporarily relieves these common cold and flu symptoms: cough sore throat headache nasal congestion minor aches and pains sinus congestion and pressure sneezing and runny nose (nighttime only) helps clear nasal passages relieves cough to help you sleep (nighttime only) promotes nasal and sinus drainage (daytime only) temporarily reduces fever,Active ingredients (in each caplet) (Daytime Cold Multi-Symptom) Acetaminophen 325 mg Dextromethorphan HBr 10 mg Phenylephrine HCl 5 mg,"Inactive ingredients (Daytime only) corn starch, croscarmellose sodium, crospovidone, flavor, magnesium stearate, microcrystalline cellulose, polyethylene glycol, polyvinyl alcohol, povidone, silica gel, stearic acid, sucralose, talc, titanium dioxide","Directions do not take more than directed adults and children 12 years and over take 2 caplets every 4 hours swallow whole - do not crush, chew, or dissolve do not take more than 10 caplets in 24 hours children under 12 years: ask a doctor","Warnings Liver warning: This product contains acetaminophen. Severe liver damage may occur if you take: with other drugs containing acetaminophen 3 or more alcoholic drinks every day while using this product more than 4,000 mg in 24 hours, which is the maximum daily amount Allergy alert: Acetaminophen may cause severe skin reactions. Symptoms may include: skin reddening blisters rash If a skin reaction occurs, stop use and seek medical help right away. Sore throat warning: If sore throat is severe, persists for more than 2 days, is accompanied or followed by fever, headache, rash, nausea, or vomiting, consult a doctor promptly. Do not use with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric or emotional conditions, or Parkinson’s disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. if you have ever had an allergic reaction to this product or any of its ingredients Ask a doctor before use if you have liver disease diabetes thyroid disease heart disease glaucoma (Nighttime only) cough that occurs with too much phlegm (mucus) high blood pressure persistent or chronic cough such as occurs with smoking, asthma, or emphysema difficulty in urination due to enlargement of the prostate gland a breathing problem such as emphysema or chronic bronchitis (Nighttime only) Ask a doctor or pharmacist before use if you are taking the blood thinning drug warfarin taking sedatives or tranquilizers (Nighttime only) When using this product do not exceed recommended dosage excitability may occur, especially in children (Nighttime only) marked drowsiness may occur (Nighttime only) avoid alcoholic beverages (Nighttime only) be careful when driving a motor vehicle or operating machinery (Nighttime only) alcohol, sedatives, and tranquilizers may increase drowsiness (Nighttime only) Stop use and ask a doctor if nervousness, dizziness, or sleeplessness occur pain, nasal congestion, or cough gets worse or lasts more than 7 days new symptoms occur fever gets worse or lasts more than 3 days redness or swelling is present cough comes back or occurs with rash or headache that lasts. These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of accidental overdose, get medical help or contact a Poison Control Center (1-800-222-1222) right away. Prompt medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. If taking NIGHTTIME and DAYTIME products, carefully read each section to ensure correct dosing."
skin,371399510112,HUMAN OTC DRUG,HYDROPHOR,HYDROPHOR,Akron Pharma Inc.,c29f7cd1-2e59-78ec-e053-2995a90a6b6c,4,2021-05-18,"Uses Helps prevent and protects chafed, chapped or cracked skin. Helps prevent and protect from the drying effects of wind and cold weather.","when using this product: avoid contact with eyes. if the condition worsens, discontinue use and contact a physician.",Drug Facts Active Ingredient: Petrolatum 42% Purpose: Skin protectant,"Inactive Ingredient Ceresin Wax, Lanolin, Mineral Oil, Paraffin Wax & Phenoxyethanol.",Directions Apply generously to affected areas or as directed by your physician.,Warnings For External Use Only.
skin,87701433757,HUMAN OTC DRUG,Good Neighbor Pharmacy Skin Protectant,ZINC OXIDE,AMERISOURCE BERGEN,c28e63f1-34bf-9206-e053-2995a90accf6,1,2021-05-17,"Uses helps treat and prevent diaper rash protects chafed skin due to diaper rash and helps seal out wetness protects and dries the oozing and weeping of poison ivy, oak and sumac helps prevent and temporarily protect chafed, chapped, cracked, or windburned skin and lips","directions for diaper rash: change wet and soiled diapers promptly cleanse the diaper area and allow to dry apply ointment liberally as often as necessary, with each diaper change, especially at bedtime or anytime when exposure to wet diapers may be prolonged for poison ivy, oak, sumac, chafed, chapped, cracked or windburned skin and lips: apply liberally as often as needed",Active ingredient Purpose Zinc oxide 20%...............................................Skin protectant,"Inactive ingredients .alpha.-tocopherol acetate, aloe vera leaf, light mineral oil, praffin, petrolatum","Distributed by: Amerisource Bergen 1300 Morris Drive Chesterbrook, PA 19087 Made in China",Warnings For external use only
cough,363113600216,HUMAN OTC DRUG,Phosphorus,PHOSPHORUS,"Energique, Inc.",d68bda76-6121-4ca8-b17b-f36b780c222a,3,2021-05-17,"INDICATIONS: May temporarily relieve dry cough with tickling in the chest or hoarseness.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.","indications: may temporarily relieve dry cough with tickling in the chest or hoarseness.** **claims based on traditional homeopathic practice, not accepted medical evidence. not fda evaluated.",ACTIVE INGREDIENT: (in each drop): 100% of Phosphorus 200C.,"INACTIVE INGREDIENTS: Demineralized water, 20% Ethanol.","DIRECTIONS: Adults and children 5 to 10 drops orally, 1 time daily or as otherwise directed by a health care professional. If symptoms persist for more than 7 days, consult your health care professional. Consult a physician for use in children under 12 years of age.","WARNINGS: If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
cough,363113700527,HUMAN OTC DRUG,Vaccistat,"BAPTISIA TINCTORIA, ECHINACEA (ANGUSTIFOLIA), HYDRASTIS CANADENSIS, ALUMINA, ANTIMONIUM TARTARICUM, MEZEREUM, NATRUM MURIATICUM, MERCURIUS SOLUBILIS, SILICEA, THUJA OCCIDENTALIS, MALANDRINUM, VARIOLINUM","Energique, Inc.",87469ac3-a2e3-4c1e-bf31-00875bba011f,2,2021-05-17,"INDICATIONS: May temporarily relieve skin irritation, dry cough, eczema, and fever.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.","indications: may temporarily relieve skin irritation, dry cough, eczema, and fever.** **claims based on traditional homeopathic practice, not accepted medical evidence. not fda evaluated.","ACTIVE INGREDIENTS: (in each drop): 9.98% of Alumina 12X, Antimonium Tartaricum 12X, Hydrastis Canadensis 6X, Malandrinum 60X, Mercurius Solubilis 30X, Mezereum 12X, Natrum Muriaticum 12X, Silicea 30X, Thuja Occidentalis 30X, Variolinum 30C; 0.10% of Baptisia Tinctoria 3X, Echinacea (Angustifolia) 3X.","INACTIVE INGREDIENTS: Demineralized water, 20% Ethanol.","DIRECTIONS: Adults and children 5 to 10 drops orally, 3 time daily or as otherwise directed by a health care professional. If symptoms persist for more than 3 days, consult your health care professional. Consult a physician for use in children under 12 years of age.","WARNINGS: If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
cough,635515996809,HUMAN OTC DRUG,Night Time Cold and Flu Multi Symptom,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE",QUALITY CHOICE (Chain Drug Marketing Association),b1777666-89ab-42e6-897b-15bf8719a5cb,1,2021-05-17,Purpose Pain reliever/Fever Reducer Cough suppressant Antihistamine,uses temporarily relieves common cold and flu symptoms: sore throat headache minor aches and pains fever runny nose and sneezing cough due to minor throat and bronchial irritation,Active ingredients (in each softgel) Acetaminophen 325 mg Dextromethorphan HBr 15 mg Doxylamine succinate 6.25 mg,"Inactive ingredients D&C yellow #10, FD&C blue #1, gelatin, glycerin, lecithin, light mineral oil, mannitol, polyethylene glycol, povidone, propylene glycol, purified water, sorbitan, sorbitol, white ink","Directions do not take more than directed (see Overdose warning) do not take more than 4 doses in 24 hours adults and children 12 years and over: take 2 softgels with water every 6 hours swallow whole; do not crush, chew, or dissolve children under 12 years: do not use when using other Daytime or Nighttime products, carefully read each label to insure correct dosing","Warnings Liver warning: This product contains acetaminophen. Severe liver damage may occur if you take: more than 4,000 mg of acetaminophen in 24 hours with other drugs containing acetaminophen 3 or more alcoholic drinks everyday while using this product Allergy alert : Acetaminophen may cause severe skin reactions. Symptoms may include: skin reddening blisters rash If a skin reaction occurs, stop use and seek medical help right away. Sore throat warning : If sore throat is severe, persists more than 2 days, is accompanied or followed by fever, headache rash, nausea, or vomiting, consult a doctor promptly. Do not use with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor of pharmacist before taking this product. Ask a doctor before use if you have liver disease glaucoma trouble urinating due to an enlarged prostate gland a breathing problem or chronic cough such as occurs with smoking, asthma, chronic bronchitis or emphysema cough that occurs with too much phlegm (mucus) Ask a doctor or pharmacist before use if you are taking the blood thinning drug warfarin taking sedatives or tranquilizers When using this product do not exceed recommended dosage excitability may occur, especially in children avoid alcoholic drinks marked drowsiness may occur alcohol, sedatives, and tranquilizers may increase drowsiness be careful when driving a motor vehicle or operating machinery Stop use and ask a doctor if pain or cough gets worse or lasts more than 7 days fever gets worse or lasts more than 3 days redness or swelling is present new symptoms occur cough comes back or occurs with rash or headache that lasts These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. Overdose warning: Taking more than the recommended dose can cause liver damage. In case of overdose, get medical help or contact a Poison Control Center (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms."
skin,8809640900075,HUMAN OTC DRUG,QUEEN79 NOBLE GOLD EYECREAM,GLYCERIN,"ENNA COSMETIC, Inc.",c27f65aa-011b-3771-e053-2a95a90a1481,1,2021-05-16,Purpose Skin Protectant,"directions after using the morning and evening serum, take the appropriate amount of eye cream and gently spread it under your eyes and up to your eyes, gently absorb it around the neck wrinkles.",Active ingredients Glycerin(3%),"Inactive ingredients WATER, BUTYLENE GLYCOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, MACADAMIA INTEGRIFOLIA SEED OIL, BUTYROSPERMUM PARKII (SHEA BUTTER), HYDROGENATED POLYDECENE, BUTYLENE GLYCOL DICAPRYLATE/DICAPRATE, NIACINAMIDE, CETEARYL OLIVATE, MICROCRYSTALLINE WAX, BEESWAX, SORBITAN OLIVATE, CETEARYL ALCOHOL, BETAINE, 1,2-HEXANEDIOL, PALMITIC ACID, STEARIC ACID, CARBOMER, ARGININE, XANTHAN GUM, ILLICIUM VERUM (ANISE) FRUIT EXTRACT, SCUTELLARIA BAICALENSIS ROOT EXTRACT, ADENOSINE, SODIUM HYALURONATE, DISODIUM EDTA, GLYCERYL GLUCOSIDE, CITRUS AURANTIUM BERGAMIA (BERGAMOT) FRUIT OIL, PELARGONIUM GRAVEOLENS FLOWER OIL, LAVANDULA HYBRIDA OIL, GOLD(100ppm), SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, PANTHENOL, SACCHARIDE ISOMERATE, PENTYLENE GLYCOL, ASCORBYL TETRAISOPALMITATE, SODIUM HYALURONATE CROSSPOLYMER, HYDROLYZED HYALURONIC ACID, ZIZYPHUS JUJUBA FRUIT EXTRACT, LENTINUS EDODES EXTRACT, PANAX GINSENG ROOT EXTRACT, GINKGO BILOBA LEAF EXTRACT, PHELLINUS LINTEUS EXTRACT, CNIDIUM OFFICINALE ROOT EXTRACT, SERICIN, HYDROLYZED COLLAGEN, HYALURONIC ACID, HYDROLYZED SODIUM HYALURONATE, PRUNUS MUME FLOWER EXTRACT, PYRUS COMMUNIS (PEAR) FLOWER EXTRACT, CENTELLA ASIATICA EXTRACT, ETHYLHEXYLGLYCERIN","Uses Its non-oily fresh feeling, it can be used easily even in the summer and as a cream for your face between seasons and in winter. It is a multi-eye cream that can be used not only to care for eye wrinkles, nasolabial folds and neck wrinkles, but also as a substitute for lip balm.",Warning For external use only
cough,635515996793,HUMAN OTC DRUG,Cold and Flu Daytime,"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL",QUALITY CHOICE (Chain Drug Marketing Association),5e7fbd3a-1cda-4e81-9797-61d09433a7a3,1,2021-05-13,Purposes Pain reliever/fever reducer Cough suppressant Nasal decongestant,uses temporarily relieves these common cold/flu symptoms: minor aches and pains headache sore throat fever nasal congestion cough due to minor throat and bronchial irritation,Active ingredients (in each softgel) Acetaminophen 325 mg Dextromethoprhan HBr 10 mg Phenlyephrine HCl 5 mg,"Inactive ingredients FD&C yellow #6, FD&C red #40, gelatin, glycerin, lecithin, light mineral oil, mannitol, polyethylene glycol, povidone, propylene glycol, purified water, sorbitan, sorbitol white ink","Directions do not take more than directed (see overdose warning) do not take more than 4 doses in 24-hour period adults and children 12 years and over: take 2 softgels with water every 4 hours swallow whole; do not crush, chew, or dissolve children under 12 years: do not use When using Day Time and Night Time products, carefully read each label to ensure correct dosing","Warnings Liver warning: This product contains acetaminophen. Severe liver damage may occur if you take: more than 4,000 mg of acetaminophen I 24 hours with other drugs containing acetaminophen 3 or more alcoholic drinks everyday while using this product Allery alert: Acetaminophen may cause severe skin reactions. Symptoms may include: skin reddening blisters rash If a skin reaction occurs, stop use and seek medical help right away Sore throat warning: If sore throat is severe, persists for more than 2 days, is accompanied or followed by fever, headache, rash, nausea, or vomiting, consult a doctor promptly. Do not use if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric, or emotional conditions, or Parkinson's disease) or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. with any other drug containing acetaminophen (prescription or non-prescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. Ask a doctor before use if the user has liver disease heart disease thyroid disease diabetes high blood pressure persistent or chronic cough such as occurs with smoking, asthma or emphysema cough that occurs with too much phlegm (mucus) trouble urinating due to an enlarged prostate gland Ask a doctor or pharmacist before use if you are taking the blood thinning drug warfarin. When using this product, do not exceed recommended dosage . Stop use and ask a doctor if pain, cough or nasal congestion gets worse or lasts more than 7 days nervousness, dizziness, or sleeplessness occur fever gets worse or lasts more than 3 days redness or swelling is present new symptoms occur cough comes back or occurs, with rash or headache that lasts. These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. Overdose warning: Taking more than the recommended dose (overdose) may cause liver damage. In case of overdose, get medical help or contact a Poison Control Center (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms."
skin,816218026127,HUMAN OTC DRUG,Mineral Mattescreen SPF 40,"TITANIUM DIOXIDE, ZINC OXIDE",Taylor James Ltd.,c2398820-f004-707f-e053-2a95a90a6929,1,2021-05-13,"Uses Helps Prevent Sunburn If used as directed with other sun protection measures (see Directions ), decreases the risk of skin cancer and early skin aging caused by the sun.",stop use and ask a doctor if rash occurs.,Active Ingredients Purpose Titanium Dioxide 1.3% Sunscreen Zinc Oxide 17.4% Sunscreen,"Inactive Ingredients Dimethicone, Dimethicone Copolymer, Caprylic/Capric Triglyceride, Methyl Dihydroabietate, Polyhydroxystearic Acid, C9-12 Alkane, Glycerin, Iron Oxides (CI 77492), Ethylhexylglycerin, Water (Aqua), Coco-Caprylate/Caprate, Silica, Stearic Acid, Iron Oxides (CI 77491), Iron Oxides (CI 77499), Hedychium Coronarium Root Extract, Lactobacillus/Arundinaria Gigantea Leaf Ferment Filtrate, Leuconostoc/Radish Root Ferment Filtrate, Titanium Dioxide (CI 77891)","Directions Apply generously and evenly 15 minutes before sun exposure Reapply at least every 2 hours. Use a water-resistant sunscreen if swimming or sweating Sun Protection Measures Spending time in the sun increases your risk of skin cancer and early skin aging. To decrease this risk, regularly use sunscreen with a Broad-Spectrum SPF value of 15 or higher and other sunprotection measures including: • limit your time in the sun, especially from 10a.m. – 2 p.m. • wear long-sleeved shirts, pants, hats, and sunglasses Children under 6 months of age: ask a doctor.",Warnings For external use only Do not use on damaged or broken skin. When using this product keep out of eyes. Rinse with water to remove.
cough,309046816522,HUMAN OTC DRUG,Mucus Relief DM Cough,"DEXTROMETHORPHAN HBR, GUAIFENESIN",Major Pharmaceuticals,b32d118f-2170-4169-88f2-ce2e1901de08,5,2021-05-12,Purpose Cough suppressant Expectorant,uses helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive temporarily relieves: cough due to minor throat and bronchial irritation associated with the common cold the intensity of coughing the impulse to cough to help you get to sleep,Active ingredients (in each immediate-release tablet) Dextromethorphan HBr 20 mg Guaifenesin 400 mg,"Inactive ingredients D&C yellow #10 aluminum lake, hypromellose, magnesium stearate, maltodextrin, microcrystalline cellulose, polyethylene glycol, povidone, silicon dioxide, sodium starch glycolate, stearic acid",Directions take with a full glass of water adults and children 12 years and over: 1 tablet every 4 hours. Do not take more than 6 tablets in 24 hours. children under 12 years: do not use,"Warnings Do not use if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric or emotional conditions, or Parkinson’s disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. Ask a doctor before use if you have cough accompanied by too much phlegm (mucus) persistent or chronic cough such as occurs with smoking, asthma, chronic bronchitis, or emphysema When using this product do not exceed recommended dosage. Stop use and ask a doctor if cough persists more than 7 days, tends to recur, or is accompanied by a fever, rash, or persistent headache. These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center (1-800-222-1222) right away."
acne,381371128846,HUMAN OTC DRUG,Clean and Clear Daily Skincare Essentials,SALICYLIC ACID,Johnson & Johnson Consumer Inc.,c21d0836-f814-116a-e053-2995a90a4689,7,2021-05-12,Purpose Acne medication,use for the treatment of acne.,Active ingredient Salicylic Acid 2%,"Inactive ingredients Water, SD Alcohol 40-B, Isoceteth-20, Fragrance, Propylene Glycol, Dimethicone Propyl PG-Betaine, Benzophenone-4, Red 4","Directions cleanse skin thoroughly before applying this product. moisten a cotton ball and cover the entire affected area with a thin layer one to three times daily because excessive drying of the skin may occur, start with one application daily, then gradually increase to two or three times daily if needed or as directed by a doctor. if bothersome dryness or peeling occurs, reduce application to once a day or every other day.","Warnings For external use only. Flammable: Keep away from fire or flame. When using this product skin irritation and dryness is more likely to occur if you use another topical acne medication at the same time. If irritation occurs, only use one topical acne medication at a time. If eye contact occurs, flush thoroughly with water. Keep out of reach of children . If swallowed, get medical help or contact a Poison Control Center right away."
cough,368071414349,HUMAN OTC DRUG,Rabofen DM,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,"NuCare Pharmaceuticals,Inc.",c223eae8-884e-6e69-e053-2a95a90a425d,3,2021-05-12,"Active ingredients (in each 2 TSP (10 mL)) Purposes Dextromethorphan HBr, USP 20 mg Cough suppressant Guaifenesin, USP 200 mg Expectorant",uses temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold helps loosen phlegm (mucus) and thin bronchial secretions to drain bronchial tubes.,"Active ingredients (in each 2 TSP (10 mL)) Purposes Dextromethorphan HBr, USP 20 mg Cough suppressant Guaifenesin, USP 200 mg Expectorant","Inactive ingredients artificial cherry flavor, citric acid, corn syrup, FD&C Red #40, glycerin, menthol, purified water, saccharin sodium, sodium benzoate",Directions do not take more than 6 doses in any 24-hour period use enclosed dosing cup only. Do not use any other device. this adult product is not intended for use in children under 12 years of age TSP=teaspoonful adults and children 12 years and over 2 TSP every 4 hours children under 12 years do not use,"Warnings Do not use if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. Ask a doctor before use if you have cough that lasts or is chronic such as occurs with smoking, asthma, chronic bronchitis or emphysema cough that occurs with too much phlegm (mucus). Stop use and ask a doctor if cough lasts more than 7 days, comes back, or is accompanied by fever, rash, or persistent headache. These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of the reach of children. In case of overdose, get medical help or contact a Poison Control Center right away."
acne,381370035725,HUMAN OTC DRUG,Clean and Clear Dual Action Moisturizer,SALICYLIC ACID,Johnson & Johnson Consumer Inc.,c21ce862-4c25-08ce-e053-2a95a90ad084,4,2021-05-12,Purpose Acne medication,use for the management of acne,Active ingredient Salicylic Acid (0.5%),"Inactive ingredients Water, Dicaprylyl Ether, Cetearyl Alcohol, Glycerin, Neopentyl Glycol, Diethylhexanoate, Dimethicone, Methyl Gluceth-20, Menthyl Lactate, Aluminum Starch Octenylsuccinate, Ceteth-10 Phosphate, Dicetyl Phosphate, Steareth-20, Steareth-2, Neopentyl Glycol Diisostearate, Fragrance, Sodium Hydroxide, Hydrogenated Lecithin, Xanthan Gum, Magnesium Aluminum Silicate, Disodium EDTA, BHT, Titanium Dioxide","Directions clean the skin thoroughly before applying this product cover the entire affected area with a thin layer one to three times daily because excessive drying of the skin may occur, start with one application daily, then gradually increase to two or three times daily if needed or as directed by a doctor if bothersome dryness or peeling occurs, reduce application to once a day or every other day.","Warnings For external use only. When using this product Skin irritation and dryness is more likely to occur if you use another topical acne medication at the same time. If irritation occurs, only use one topical acne medication at a time. Rinse right away with water if it gets in eyes. Keep out of reach of children . If swallowed, get medical help or contact a Poison Control Center right away."
